No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
571.00,Financials,G412,General Insurance,AMAG,Asuransi Multi Artha Guna Tbk,S,06/30/2022,Dec,U,,4967.69,3338.18,1629.51,1522.67,85.26,80.88,80.88,28.24,325.8,12.67,1.1,2.05,3,9,10,358.38
572.00,Financials,G412,General Insurance,ASBI,Asuransi Bintang Tbk,S,06/30/2022,Dec,U,,959.89,602.89,357,281.21,1.4,3.88,3.88,49.19,1024.73,6.22,0.3,1.69,2,6,8,307.419
573.00,Financials,G412,General Insurance,ASDM,Asuransi Dayin Mitra Tbk,S,06/30/2022,Dec,U,,1133.26,780.32,352.95,750.73,8.27,7.06,7.06,107.93,1838.27,8.8,0.52,2.21,2,6,3,955.9004
574.00,Financials,G412,General Insurance,ASJT,Asuransi Jasa Tania Tbk,S,06/30/2022,Dec,U,,502.13,196.25,305.88,107.62,0.14,0.11,0.11,0.29,237.32,455.26,0.57,0.64,0,0,0,135.2724
575.00,Financials,G412,General Insurance,ASMI,Asuransi Maximus Graha Persada Tbk,S,06/30/2022,Dec,U,,1143.61,737.63,404.45,615.98,-56.75,-56.75,-56.75,-5.56,45.15,-23.19,2.97,1.82,-4,-12,-8,134.0955
576.00,Financials,G412,General Insurance,ASRM,Asuransi Ramayana Tbk,S,06/30/2022,Dec,U,,1696.04,1121.98,574.06,1242.03,48.97,42.88,42.88,192.1,1886.6,8.3,0.81,1.95,3,10,5,1528.146
577.00,Financials,G413,Life Insurance,BHAT,Bhakti Multi Artha Tbk,S,06/30/2022,Dec,U,,1024.44,487.4,537.04,76.99,3.74,3.74,3.56,2.02,107.41,535.24,10.06,0.91,1,1,9,1080.5446
578.00,Financials,G413,Life Insurance,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,S,06/30/2022,Dec,A,WTP,311.09,193.32,117.22,22.03,2.52,2.52,2.52,6.13,117.22,22.02,1.15,1.65,2,5,28,134.803
579.00,Financials,G413,Life Insurance,LIFE,Asuransi Jiwa Sinarmas MSIG Tbk,S,06/30/2022,Dec,U,,15476.13,7896.58,7512.7,1597.47,218.53,193.65,193.65,59.42,3577.47,102.66,1.71,1.05,1,2,9,6117.4737
580.00,Financials,G412,General Insurance,LPGI,Lippo General Insurance Tbk,S,06/30/2022,Dec,U,,2995.94,2205.82,790.12,1315.72,100.27,92.74,92.74,680.86,5267.47,7.34,0.95,2.79,4,15,9,5004.0965
581.00,Financials,G414,Reasurance,MREI,Maskapai Reasuransi Indonesia Tbk,S,06/30/2022,Dec,U,,4285.39,2839.37,1405.89,1370.88,66.09,77.77,77.77,-460.29,2715.17,-9.54,1.6,2.02,-6,-17,-17,4344.272
582.00,Financials,G412,General Insurance,MTWI,Malacca Trust Wuwungan Insurance Tbk,S,03/31/2022,Dec,U,,600.84,464.84,135.99,86.19,-1.47,-1.47,-1.47,4.44,89.13,31.72,1.58,3.42,1,5,8,140.8254
583.00,Financials,G412,General Insurance,PNIN,Paninvest Tbk,S,06/30/2022,Dec,U,,35922.66,5161.59,30707.51,1365.49,629.45,1348.92,968.24,201.83,7547.95,5.4,0.14,0.17,4,4,97,1056.713
