No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
331.00,Consumer Non-Cyclicals,D421,Personal Care Products,MRAT,Mustika Ratu Tbk,S,06/30/2022,Dec,U,,594.55,260.32,334.23,166.90,-9.12,-9.18,-9.17,-25.87,780.91,-14.53,0.50,0.78,-2.00,-3.00,-7.00,390.46
332.00,Consumer Non-Cyclicals,D421,Personal Care Products,NANO,PT Nanotech Indonesia Global Tbk,0,06/30/2022,Dec,U,,177.42,11.33,166.09,25.41,4.13,3.39,3.10,0.71,38.76,70.47,1.29,0.07,2.00,2.00,12.00,50.00
333.00,Consumer Non-Cyclicals,D421,Personal Care Products,TCID,Mandom Indonesia Tbk,S,06/30/2022,Dec,U,,"2,324.47",479.80,"1,844.67",925.42,-4.41,-6.41,-6.41,-233.33,"9,174.42",-23.79,0.60,0.26,-2.00,-3.00,-5.00,5504.65
334.00,Consumer Non-Cyclicals,D421,Personal Care Products,UCID,PT Uni-Charm Indonesia Tbk.,S,06/30/2022,Dec,LR,,"8,182.86","3,115.44","5,067.42","5,061.32",221.08,115.72,115.64,83.04,"1,219.13",14.03,0.96,0.61,4.00,7.00,7.00,1170.36
335.00,Consumer Non-Cyclicals,D421,Personal Care Products,UNVR,Unilever Indonesia Tbk,S,06/30/2022,Dec,U,,"22,144.17","17,578.19","4,565.98","21,463.38","4,442.93","3,429.94","3,429.94",159.40,119.69,28.29,37.68,3.85,28.00,135.00,29.00,4509.92
336.00,Consumer Cyclicals,E111,Auto Parts & Equipment,AUTO,Astra Otoparts Tbk,S,06/30/2022,Dec,U,,"17,569.33","5,487.69","12,081.65","8,581.09",516.17,454.24,432.50,161.17,"2,506.70",7.69,0.49,0.45,4.00,6.00,9.00,1228.28
337.00,Consumer Cyclicals,E111,Auto Parts & Equipment,BOLT,Garuda Metalindo Tbk,S,06/30/2022,Dec,U,,"1,344.30",540.31,803.99,658.77,13.47,9.82,6.01,24.00,343.04,33.54,2.36,0.67,4.00,7.00,9.00,809.57
338.00,Consumer Cyclicals,E112,Tires,BRAM,Indo Kordsa Tbk,S,06/30/2022,Dec,U,,"4,456.87","1,208.02","3,248.84","2,593.01",315.21,238.79,217.34,926.13,"7,219.66",9.04,1.15,0.37,9.00,13.00,16.00,8302.61
339.00,Consumer Cyclicals,E111,Auto Parts & Equipment,DRMA,Dharma Polimetal Tbk,S,06/30/2022,Dec,LR,,"2,343.81","1,188.70","1,155.11","1,590.02",181.54,144.59,143.62,73.48,245.46,8.71,2.67,1.03,15.00,30.00,22.00,655.38
340.00,Consumer Cyclicals,E112,Tires,GDYR,Goodyear Indonesia Tbk,S,06/30/2022,Dec,U,,"1,840.93","1,150.77",690.17,"1,250.95",-33.86,-29.47,-29.47,-112.35,"1,683.33",-11.93,0.80,1.67,-3.00,-7.00,-4.00,1346.66
341.00,Consumer Cyclicals,E112,Tires,GJTL,Gajah Tunggal Tbk,S,06/30/2022,Dec,U,,"19,300.96","12,340.37","6,960.59","8,287.49",-41.43,-67.56,-63.88,-21.72,"1,997.41",-29.47,0.32,1.77,0.00,-1.00,-1.00,639.17
342.00,Consumer Cyclicals,E111,Auto Parts & Equipment,INDS,Indospring Tbk,S,06/30/2022,Dec,U,,"3,631.37",789.03,"2,842.34","1,683.61",76.87,58.47,54.81,219.31,"4,331.18",9.39,0.48,0.28,3.00,4.00,7.00,2078.97
343.00,Consumer Cyclicals,E111,Auto Parts & Equipment,LPIN,Multi Prima Sejahtera Tbk,S,06/30/2022,Dec,U,,326.78,30.55,296.22,75.93,14.71,12.31,12.31,59.71,696.99,6.60,0.57,0.10,8.00,9.00,33.00,397.28
344.00,Consumer Cyclicals,E112,Tires,MASA,Multistrada Arah Sarana Tbk,S,06/30/2022,Dec,U,,"8,263.92","3,317.22","4,946.69","4,092.12","1,050.97",817.69,817.63,101.04,538.68,29.59,5.55,0.67,14.00,23.00,27.00,2989.67
345.00,Consumer Cyclicals,E111,Auto Parts & Equipment,NIPS,Nipress Tbk,S,09/30/2018,Dec,A,WTP,"2,134.39","1,165.97",968.42,809.09,12.34,3.10,3.10,9.13,592.18,0.00,0.48,1.20,1.00,2.00,2.00,284.25
346.00,Consumer Cyclicals,E111,Auto Parts & Equipment,PRAS,Prima Alloy Steel Universal Tbk,S,06/30/2022,Dec,U,,"1,606.17","1,147.42",458.75,59.85,-38.88,-31.88,-31.88,47.50,654.39,4.19,0.30,2.50,-2.00,-8.00,-64.00,196.32
347.00,Consumer Cyclicals,E111,Auto Parts & Equipment,SMSM,Selamat Sempurna Tbk,S,06/30/2022,Dec,U,,"4,218.09","1,001.36","3,216.73","2,305.96",525.01,420.22,377.44,119.78,558.59,10.85,2.33,0.31,17.00,23.00,31.00,1301.51
348.00,Consumer Cyclicals,E211,Home Furnishings,CBMF,Cahaya Bintang Medan Tbk,S,06/30/2022,Dec,U,,362.40,111.20,251.20,12.05,0.49,0.39,0.39,0.67,133.97,75.70,0.38,0.44,0.00,0.00,6.00,50.91
349.00,Consumer Cyclicals,E211,Home Furnishings,CINT,Chitose Internasional Tbk,S,06/30/2022,Dec,U,,509.92,166.17,343.75,137.41,-4.04,-4.66,-4.77,-103.85,343.75,-2.12,0.66,0.48,-20.00,-30.00,-76.00,226.88
350.00,Consumer Cyclicals,E211,Home Furnishings,GEMA,Gema Grahasarana Tbk,S,06/30/2022,Dec,U,,"1,108.54",740.99,367.55,501.21,-17.98,-26.27,-26.35,-12.82,229.72,-26.99,1.51,2.02,-2.00,-6.00,-4.00,346.88
351.00,Consumer Cyclicals,E213,Housewares & Specialties,KICI,Kedaung Indah Can Tbk,S,06/30/2022,Dec,U,,183.25,73.44,109.81,47.14,2.71,2.12,2.12,48.98,397.85,3.78,0.46,0.67,7.00,12.00,29.00,183.01
352.00,Consumer Cyclicals,E211,Home Furnishings,LFLO,Imago Mulia Persada Tbk,0,06/30/2022,Dec,A,WTP,68.98,27.49,41.49,22.64,0.95,0.95,0.95,1.11,31.73,57.58,2.14,0.66,2.00,4.00,6.00,67.90
353.00,Consumer Cyclicals,E213,Housewares & Specialties,LMPI,Langgeng Makmur Industri Tbk,S,06/30/2022,Dec,U,,706.60,487.53,219.07,277.84,-10.88,-8.94,-8.94,-12.16,217.22,-13.40,0.75,2.23,-2.00,-6.00,-4.00,162.92
354.00,Consumer Cyclicals,E211,Home Furnishings,MGLV,Panca Anugrah Wisesa Tbk,0,06/30/2022,Dec,U,,238.05,134.37,103.68,93.88,12.27,10.17,10.12,7.83,54.43,15.96,2.30,1.30,6.00,14.00,16.00,125.19
355.00,Consumer Cyclicals,E213,Housewares & Specialties,MICE,Multi Indocitra Tbk,S,06/30/2022,Dec,U,,"1,110.60",375.16,735.44,453.95,33.00,24.20,24.20,58.33,"1,225.73",8.74,0.42,0.51,3.00,5.00,8.00,514.81
356.00,Consumer Cyclicals,E211,Home Furnishings,OLIV,Oscar Mitra Sukses Sejahtera Tbk,0,06/30/2022,Dec,U,,59.85,5.90,53.95,25.56,0.72,0.53,0.53,0.29,28.40,123.15,1.27,0.11,0.00,0.00,0.00,36.07
357.00,Consumer Cyclicals,E212,Household Appliances,SCNP,Selaras Citra Nusantara Perkasa Tbk,S,06/30/2022,Dec,U,,513.54,118.48,395.07,292.29,3.93,3.93,-1.81,-2.00,158.03,-121.05,1.53,0.30,0.00,0.00,0.00,241.79
358.00,Consumer Cyclicals,E211,Home Furnishings,SOFA,Boston Furniture Industries Tbk,0,06/30/2022,Dec,U,,64.16,22.75,41.41,18.54,-2.75,-2.26,-2.26,-1.87,25.04,-20.90,1.56,0.55,-8.00,-12.00,-26.00,39.06
359.00,Consumer Cyclicals,E211,Home Furnishings,WOOD,Integra Indocabinet Tbk,S,06/30/2022,Dec,U,,"6,890.07","2,997.08","3,892.99","3,135.63",390.45,300.10,299.89,95.88,604.74,5.32,0.84,0.77,9.00,16.00,20.00,507.98
360.00,Consumer Cyclicals,E321,Sport Equipment & Hobbies Goods,BIKE,PT Sepeda Bersama Indonesia Tbk,S,06/30/2022,Dec,U,,125.95,8.62,117.33,97.21,16.70,13.35,13.35,-1.12,90.71,-202.86,2.65,0.07,-1.00,-1.00,-1.00,240.38
361.00,Consumer Cyclicals,E321,Sport Equipment & Hobbies Goods,IIKP,Inti Agri Resources Tbk,S,06/30/2022,Dec,U,,290.08,24.96,265.12,1.62,-11.63,-9.24,-9.23,-1.42,7.89,-35.31,6.34,0.09,-16.00,-18.00,"-2,941.00",50.02
362.00,Consumer Cyclicals,E321,Sport Equipment & Hobbies Goods,TOYS,PT Sunindo Adipersada Tbk.,S,06/30/2022,Dec,U,,371.88,109.42,262.46,56.42,3.14,2.61,2.61,-11.86,182.90,-8.18,0.53,0.42,-3.00,-4.00,-20.00,96.94
363.00,Consumer Cyclicals,E413,Textiles,ARGO,Argo Pantes Tbk,S,06/30/2022,Dec,U,,"1,125.22","2,513.25","-1,388.03",42.98,-22.89,-22.89,-22.89,-103.50,"-4,136.50",-10.10,-0.25,-1.81,-3.00,0.00,-85.00,1034.13
364.00,Consumer Cyclicals,E412,Footwear,BATA,Sepatu Bata Tbk,S,03/31/2022,Dec,U,,720.33,306.60,413.73,116.35,-14.78,-13.41,-13.40,-28.23,318.26,-17.71,1.57,0.74,-5.00,-9.00,-32.00,499.67
365.00,Consumer Cyclicals,E413,Textiles,BELL,PT Trisula Textile Industries Tbk,S,06/30/2022,Dec,U,,541.43,276.94,264.50,203.39,8.21,6.94,5.29,0.06,36.48,"3,739.56",6.63,1.05,0.00,1.00,1.00,241.86
366.00,Consumer Cyclicals,E412,Footwear,BIMA,Primarindo Asia Infrastructure Tbk,S,06/30/2022,Dec,U,,243.84,244.68,-0.85,34.43,-10.64,-9.88,-9.88,-17.62,-1.40,-8.74,-115.36,-288.28,-4.00,0.00,-31.00,161.50
367.00,Consumer Cyclicals,E413,Textiles,CNTX,Centex Tbk,S,06/30/2022,Mar,U,,600.07,804.23,-204.16,156.91,-9.22,-9.22,-9.22,"-1,052.96","-2,916.55",-0.31,-0.11,-3.94,-12.00,0.00,-47.00,320.82
368.00,Consumer Cyclicals,E411,"Clothing, Accessories & Bags",ERTX,Eratex Djaja Tbk,S,06/30/2022,Dec,U,,"1,083.37",764.96,318.41,782.92,28.27,22.07,22.07,18.88,247.49,10.43,0.80,2.40,3.00,10.00,4.00,197.99
369.00,Consumer Cyclicals,E413,Textiles,ESTI,Ever Shine Textile Industry Tbk,S,06/30/2022,Dec,U,,761.49,540.60,220.89,225.71,4.00,3.99,3.99,9.16,109.61,9.61,0.80,2.45,2.00,8.00,8.00,87.69
370.00,Consumer Cyclicals,E413,Textiles,HDTX,Panasia Indo Resources Tbk,S,06/30/2022,Dec,U,,334.17,377.18,-43.01,5.88,-23.50,-22.58,-22.57,-10.06,-11.94,-11.93,-10.05,-8.77,-11.00,0.00,-616.00,120.00
371.00,Consumer Cyclicals,E411,"Clothing, Accessories & Bags",HRTA,Hartadinata Abadi Tbk,S,06/30/2022,Dec,U,,"3,867.97","2,264.58","1,603.40","3,216.99",171.44,133.55,133.24,50.48,348.17,4.08,0.59,1.41,6.00,14.00,7.00,205.42
372.00,Consumer Cyclicals,E413,Textiles,INDR,Indorama Synthetics Tbk,S,06/30/2022,Dec,U,,"13,803.97","6,718.61","7,085.36","7,668.69",971.76,803.66,803.69,"2,179.68","10,828.05",3.93,0.79,0.95,10.00,20.00,19.00,8554.16
373.00,Consumer Cyclicals,E413,Textiles,INOV,PT Inocycle Technology Group Tbk.,S,06/30/2022,Dec,A,WTP,900.57,559.76,340.81,184.75,7.73,6.09,6.09,18.57,188.48,8.18,0.85,1.64,4.00,10.00,18.00,160.21
374.00,Consumer Cyclicals,E413,Textiles,MYTX,PT Asia Pacific Investama Tbk.,S,06/30/2022,Dec,U,,"3,908.00","3,968.51",-60.51,937.90,65.22,65.22,62.86,-6.38,-7.81,-8.63,-7.43,-65.58,-1.00,0.00,-5.00,58.03
375.00,Consumer Cyclicals,E411,"Clothing, Accessories & Bags",PBRX,Pan Brothers Tbk,S,06/30/2022,Dec,A,WTP,"10,483.95","6,090.03","4,393.92","4,405.15",73.64,56.19,50.33,17.09,678.25,7.31,0.18,1.39,1.00,3.00,3.00,122.09
376.00,Consumer Cyclicals,E411,"Clothing, Accessories & Bags",POLU,Golden Flower Tbk,S,06/30/2022,Dec,U,,210.39,62.97,147.42,70.28,8.80,8.80,8.80,-28.34,196.56,-16.51,2.38,0.43,-10.00,-14.00,-30.00,467.81
377.00,Consumer Cyclicals,E413,Textiles,POLY,Asia Pacific Fibers Tbk,S,06/30/2022,Dec,U,,"3,647.69","17,762.95","-14,115.25","3,101.92",170.75,185.76,185.76,93.01,"-5,655.71",0.68,-0.01,-1.26,6.00,0.00,7.00,56.56
